"edad","sexo","nrodepen","fonopart","fonolab","autovaluo","esaval","tieneaval","antiguedad","tiporenta","dpto","morosidad"
45,"M",5,"Si","Si","No","Si","No",15,"Fijo","Lima","Moroso"
45,"M",4,"Si","No","Si","No","No",15,"Variable","Lima","Moroso"
45,"F",3,"Si","Si","No","No","No",15,"Fijo","Lima","No Moroso"
45,"F",3,"Si","Si","No","Si","Si",15,"Fijo","Lima","No Moroso"
45,"M",3,"No","Si","No","Si","Si",15,"Fijo","Lima","No Moroso"
45,"F",3,"No","No","No","Si","Si",15,"Fijo","Lima","No Moroso"
45,"M",3,"No","No","Si","No","No",15,"Variable","Lima","No Moroso"
45,"F",3,"Si","Si","Si","No","No",15,"Variable","Lima","No Moroso"
45,"M",3,"Si","Si","Si","No","No",15,"Variable","Lima","No Moroso"
45,"M",3,"Si","No","No","No","No",15,"Variable","Lima","No Moroso"
45,"F",2,"Si","Si","No","No","No",15,"Fijo","Lima","No Moroso"
45,"M",2,"Si","Si","No","Si","Si",15,"Fijo","Lima","No Moroso"
45,"F",2,"No","Si","No","No","Si",15,"Fijo","Lima","No Moroso"
45,"F",2,"No","Si","No","Si","Si",15,"Fijo","Lima","No Moroso"
45,"M",2,"Si","Si","No","Si","Si",15,"Fijo","Lima","No Moroso"
45,"M",2,"Si","No","No","No","No",15,"Fijo","Lima","No Moroso"
45,"M",2,"Si","No","No","Si","Si",15,"Variable","Lima","No Moroso"
45,"F",2,"No","No","Si","Si","No",15,"Variable","Lima","No Moroso"
45,"F",2,"No","No","No","Si","Si",15,"Variable","Lima","No Moroso"
45,"F",2,"Si","No","No","No","No",15,"Variable","Lima","No Moroso"
45,"M",2,"Si","Si","No","No","No",15,"Variable","Lima","No Moroso"
45,"M",1,"Si","Si","No","No","No",15,"Fijo","Lima","No Moroso"
45,"M",1,"No","No","No","No","No",15,"Fijo","Lima","No Moroso"
45,"M",1,"Si","Si","No","No","No",15,"Fijo","Lima","No Moroso"
45,"M",1,"No","Si","No","Si","No",15,"Fijo","Lima","No Moroso"
45,"F",1,"Si","No","No","Si","Si",15,"Variable","Lima","No Moroso"
45,"M",1,"Si","No","Si","No","No",15,"Variable","Lima","No Moroso"
45,"F",1,"No","Si","Si","No","No",15,"Variable","Lima","No Moroso"
45,"F",1,"No","No","No","Si","No",15,"Variable","Lima","No Moroso"
45,"M",0,"No","No","No","Si","No",15,"Fijo","Lima","No Moroso"
45,"M",0,"Si","No","No","Si","Si",15,"Variable","Lima","No Moroso"
45,"M",0,"No","No","No","No","No",15,"Variable","Lima","No Moroso"
46,"F",4,"No","Si","Si","No","No",15,"Fijo","Lima","Moroso"
46,"M",4,"Si","No","No","No","Si",15,"Variable","Lima","No Moroso"
46,"F",3,"Si","Si","No","Si","Si",15,"Fijo","Lima","No Moroso"
46,"M",3,"Si","Si","No","Si","Si",15,"Fijo","Lima","No Moroso"
46,"F",3,"Si","Si","Si","No","No",15,"Variable","Lima","No Moroso"
46,"M",3,"Si","Si","Si","No","No",15,"Variable","Lima","No Moroso"
46,"F",3,"No","No","Si","Si","No",15,"Variable","Lima","No Moroso"
46,"M",3,"No","No","No","No","No",15,"Variable","Lima","No Moroso"
46,"F",2,"Si","Si","No","Si","Si",15,"Fijo","Lima","No Moroso"
46,"M",2,"No","Si","No","No","Si",15,"Fijo","Lima","No Moroso"
46,"M",2,"Si","Si","No","Si","No",15,"Fijo","Lima","No Moroso"
46,"F",2,"Si","Si","Si","Si","Si",15,"Variable","Lima","No Moroso"
46,"M",2,"Si","Si","Si","No","No",15,"Variable","Lima","No Moroso"
46,"M",1,"No","Si","No","No","No",15,"Fijo","Lima","No Moroso"
46,"M",1,"Si","No","No","No","No",15,"Variable","Lima","No Moroso"
46,"F",1,"Si","No","No","No","No",15,"Variable","Lima","No Moroso"
46,"M",0,"Si","Si","No","No","Si",15,"Fijo","Lima","No Moroso"
46,"M",0,"No","No","No","No","No",15,"Variable","Lima","No Moroso"
47,"M",4,"No","Si","No","No","No",15,"Fijo","Lima","Moroso"
47,"F",4,"No","Si","Si","No","No",15,"Fijo","Lima","Moroso"
47,"F",2,"No","No","No","No","No",15,"Fijo","Lima","No Moroso"
47,"F",2,"No","Si","Si","No","No",15,"Fijo","Lima","No Moroso"
47,"M",2,"No","Si","No","No","No",15,"Fijo","Lima","No Moroso"
47,"F",2,"No","No","No","No","No",15,"Fijo","Lima","No Moroso"
47,"M",2,"Si","Si","Si","No","No",15,"Variable","Lima","No Moroso"
47,"M",2,"Si","Si","Si","No","No",15,"Variable","Lima","No Moroso"
47,"M",1,"Si","Si","No","No","Si",15,"Fijo","Lima","No Moroso"
47,"M",1,"No","No","No","Si","Si",15,"Variable","Lima","No Moroso"
47,"F",1,"No","No","No","No","No",15,"Variable","Lima","No Moroso"
47,"F",1,"No","No","No","No","No",15,"Variable","Lima","No Moroso"
47,"F",0,"No","Si","No","Si","No",15,"Fijo","Lima","No Moroso"
47,"M",0,"No","No","No","No","No",15,"Variable","Lima","No Moroso"
47,"F",0,"No","No","No","No","No",15,"Variable","Lima","No Moroso"
48,"M",3,"Si","No","Si","No","No",15,"Fijo","Lima","No Moroso"
48,"M",3,"Si","No","Si","No","No",15,"Variable","Lima","No Moroso"
48,"F",2,"No","Si","No","Si","Si",15,"Fijo","Lima","Moroso"
48,"M",2,"No","No","No","No","No",15,"Variable","Lima","No Moroso"
48,"F",0,"No","Si","No","Si","Si",15,"Fijo","Lima","No Moroso"
48,"M",0,"No","No","No","No","No",15,"Variable","Lima","No Moroso"
49,"F",5,"No","No","Si","No","No",15,"Variable","Lima","Moroso"
49,"F",4,"Si","Si","Si","No","Si",15,"Variable","Lima","No Moroso"
49,"F",3,"No","Si","No","No","No",15,"Fijo","Lima","No Moroso"
49,"F",3,"No","No","Si","No","No",15,"Variable","Lima","No Moroso"
49,"F",3,"Si","No","Si","No","No",15,"Variable","Lima","No Moroso"
49,"M",2,"Si","Si","No","No","No",15,"Fijo","Lima","No Moroso"
49,"F",2,"Si","Si","No","Si","No",15,"Fijo","Lima","No Moroso"
49,"M",2,"No","No","No","No","No",15,"Variable","Lima","No Moroso"
49,"M",2,"Si","Si","Si","No","No",15,"Variable","Lima","No Moroso"
50,"F",4,"No","No","No","No","Si",15,"Fijo","Lima","Moroso"
50,"M",4,"Si","No","Si","Si","No",15,"Variable","Lima","Moroso"
50,"F",3,"Si","Si","No","Si","No",15,"Fijo","Lima","No Moroso"
50,"F",2,"No","No","No","No","No",15,"Variable","Lima","No Moroso"
50,"F",2,"Si","No","Si","No","No",15,"Variable","Lima","No Moroso"
50,"F",2,"No","No","Si","No","No",15,"Variable","Lima","No Moroso"
50,"M",2,"No","No","No","Si","Si",15,"Variable","Lima","No Moroso"
50,"M",1,"No","No","Si","No","Si",15,"Variable","Lima","No Moroso"
50,"M",0,"Si","Si","Si","No","No",15,"Variable","Lima","No Moroso"
51,"M",4,"No","No","No","No","No",15,"Variable","Lima","Moroso"
51,"F",3,"Si","No","Si","No","Si",15,"Variable","Lima","No Moroso"
51,"F",2,"Si","Si","No","No","Si",15,"Fijo","Lima","No Moroso"
51,"F",2,"No","No","No","No","No",15,"Variable","Lima","No Moroso"
51,"M",2,"No","No","Si","No","No",15,"Variable","Lima","No Moroso"
51,"F",1,"Si","Si","No","No","No",15,"Fijo","Lima","No Moroso"
51,"F",0,"Si","No","No","No","No",15,"Variable","Lima","No Moroso"
51,"F",0,"No","No","No","No","No",15,"Variable","Lima","No Moroso"
52,"F",3,"Si","No","Si","Si","No",15,"Variable","Lima","No Moroso"
52,"M",3,"No","No","Si","No","Si",15,"Variable","Lima","No Moroso"
52,"F",2,"No","Si","No","No","No",15,"Fijo","Lima","No Moroso"
52,"F",2,"No","No","No","No","Si",15,"Variable","Lima","No Moroso"
52,"F",1,"Si","No","No","No","Si",15,"Fijo","Lima","Moroso"
52,"M",1,"Si","Si","Si","Si","No",15,"Variable","Lima","No Moroso"
52,"F",0,"No","Si","No","No","No",15,"Fijo","Lima","No Moroso"
53,"M",4,"Si","Si","Si","Si","Si",15,"Fijo","Lima","Moroso"
53,"M",3,"Si","No","Si","No","No",15,"Variable","Lima","No Moroso"
53,"M",2,"No","Si","No","Si","Si",15,"Fijo","Lima","No Moroso"
53,"F",2,"No","Si","No","Si","Si",15,"Variable","Lima","No Moroso"
53,"F",2,"Si","No","Si","No","No",15,"Variable","Lima","No Moroso"
53,"M",1,"No","No","Si","No","No",15,"Variable","Lima","No Moroso"
53,"M",0,"Si","No","Si","No","No",15,"Variable","Lima","No Moroso"
54,"M",3,"No","No","Si","No","No",15,"Variable","Lima","No Moroso"
54,"M",2,"No","No","No","Si","No",15,"Variable","Lima","No Moroso"
54,"M",2,"No","No","Si","Si","No",15,"Variable","Lima","No Moroso"
54,"M",1,"Si","Si","Si","No","No",15,"Fijo","Lima","No Moroso"
54,"M",1,"Si","Si","No","No","No",15,"Fijo","Lima","No Moroso"
54,"F",1,"No","No","Si","No","No",15,"Variable","Lima","No Moroso"
54,"F",1,"Si","No","No","No","No",15,"Variable","Lima","No Moroso"
55,"F",5,"No","Si","No","No","Si",15,"Fijo","Lima","No Moroso"
55,"M",4,"No","Si","No","No","No",15,"Fijo","Lima","Moroso"
55,"M",4,"Si","Si","No","No","No",15,"Variable","Lima","Moroso"
55,"F",4,"Si","Si","No","No","No",15,"Variable","Lima","Moroso"
55,"M",4,"No","No","No","No","No",15,"Variable","Lima","Moroso"
55,"M",3,"No","Si","No","No","No",15,"Fijo","Lima","No Moroso"
55,"M",2,"Si","Si","No","Si","Si",15,"Variable","Lima","No Moroso"
55,"F",2,"No","No","Si","No","No",15,"Variable","Lima","No Moroso"
55,"F",1,"Si","Si","Si","No","No",15,"Fijo","Lima","No Moroso"
55,"F",1,"No","Si","No","Si","No",15,"Fijo","Lima","No Moroso"
55,"M",1,"Si","Si","Si","No","No",15,"Variable","Lima","No Moroso"
55,"M",0,"Si","Si","Si","No","Si",15,"Variable","Lima","No Moroso"
55,"M",0,"No","No","No","No","No",15,"Variable","Lima","No Moroso"
56,"M",4,"No","No","No","No","No",15,"Variable","Lima","Moroso"
56,"F",2,"Si","Si","No","Si","Si",15,"Fijo","Lima","No Moroso"
56,"F",1,"Si","No","Si","Si","No",15,"Variable","Lima","No Moroso"
56,"F",0,"No","Si","No","Si","No",15,"Fijo","Lima","No Moroso"
56,"M",0,"Si","No","No","No","No",15,"Fijo","Lima","No Moroso"
57,"F",4,"No","No","Si","No","No",15,"Variable","Lima","Moroso"
57,"F",1,"No","Si","Si","No","No",15,"Variable","Lima","No Moroso"
57,"M",1,"No","No","No","No","No",15,"Variable","Lima","No Moroso"
57,"M",0,"No","No","No","No","No",15,"Variable","Lima","No Moroso"
58,"F",2,"Si","Si","Si","Si","No",15,"Variable","Lima","No Moroso"
58,"M",2,"Si","No","Si","No","No",15,"Variable","Lima","No Moroso"
59,"M",5,"Si","Si","No","Si","Si",15,"Fijo","Lima","Moroso"
59,"M",1,"No","No","Si","No","No",15,"Variable","Lima","No Moroso"
59,"F",0,"No","Si","No","Si","Si",15,"Fijo","Lima","No Moroso"
61,"F",0,"Si","No","No","Si","Si",15,"Variable","Lima","No Moroso"
62,"F",2,"Si","Si","Si","Si","Si",15,"Variable","Lima","No Moroso"
62,"M",1,"Si","Si","No","No","Si",15,"Fijo","Lima","No Moroso"
62,"M",0,"Si","Si","Si","No","No",15,"Variable","Lima","No Moroso"
63,"F",1,"Si","No","No","No","No",15,"Variable","Lima","No Moroso"
63,"M",1,"No","No","No","No","No",15,"Variable","Lima","No Moroso"
63,"F",0,"Si","Si","Si","No","No",15,"Variable","Lima","No Moroso"
63,"M",0,"No","No","Si","No","No",15,"Variable","Lima","No Moroso"
64,"M",0,"No","No","No","No","No",15,"Variable","Lima","No Moroso"
65,"M",0,"No","No","Si","No","No",15,"Variable","Lima","No Moroso"
66,"F",0,"No","No","Si","No","No",15,"Variable","Lima","No Moroso"
66,"F",0,"Si","No","Si","No","No",15,"Variable","Lima","No Moroso"
67,"F",1,"No","Si","Si","No","No",15,"Fijo","Lima","No Moroso"
68,"M",2,"No","No","Si","Si","Si",15,"Variable","Lima","No Moroso"
68,"F",0,"Si","Si","No","Si","Si",15,"Variable","Lima","No Moroso"
68,"M",0,"Si","Si","No","Si","Si",15,"Variable","Lima","No Moroso"
68,"F",0,"No","No","Si","No","No",15,"Variable","Lima","No Moroso"
69,"F",2,"No","Si","No","No","No",15,"Fijo","Lima","No Moroso"
69,"F",1,"No","No","No","Si","No",15,"Fijo","Lima","No Moroso"
69,"F",0,"No","No","Si","No","No",15,"Variable","Lima","No Moroso"
69,"M",0,"No","No","No","No","Si",15,"Variable","Lima","No Moroso"
69,"M",0,"No","No","Si","Si","No",15,"Variable","Lima","No Moroso"
69,"M",0,"Si","Si","Si","No","No",15,"Variable","Lima","No Moroso"
72,"M",5,"Si","Si","No","No","No",15,"Variable","Lima","Moroso"
73,"M",0,"Si","No","No","No","No",15,"Variable","Lima","No Moroso"
75,"F",3,"No","No","No","No","No",15,"Variable","Trujillo","No Moroso"
75,"M",1,"Si","No","No","No","No",15,"Fijo","Trujillo","No Moroso"
75,"M",0,"Si","Si","No","Si","Si",15,"Fijo","Trujillo","No Moroso"
75,"F",0,"Si","No","Si","Si","No",15,"Variable","Trujillo","No Moroso"
25,"F",0,"Si","Si","No","No","No",14,"Fijo","Trujillo","No Moroso"
32,"F",4,"No","Si","No","Si","Si",14,"Fijo","Trujillo","Moroso"
33,"F",5,"Si","Si","No","No","No",14,"Fijo","Trujillo","Moroso"
34,"M",5,"Si","Si","No","No","No",14,"Fijo","Trujillo","Moroso"
35,"F",4,"No","Si","Si","No","Si",14,"Fijo","Trujillo","Moroso"
36,"M",4,"No","Si","No","No","No",14,"Fijo","Trujillo","Moroso"
36,"F",4,"Si","No","No","No","No",14,"Variable","Trujillo","Moroso"
36,"M",3,"No","No","Si","Si","Si",14,"Variable","Trujillo","No Moroso"
36,"F",3,"Si","No","No","No","No",14,"Variable","Trujillo","No Moroso"
36,"F",2,"Si","Si","No","No","No",14,"Fijo","Trujillo","No Moroso"
36,"F",2,"No","Si","No","No","No",14,"Fijo","Trujillo","No Moroso"
36,"M",2,"No","No","Si","No","No",14,"Variable","Trujillo","No Moroso"
36,"F",2,"Si","Si","Si","No","No",14,"Variable","Trujillo","No Moroso"
36,"M",2,"No","No","Si","No","No",14,"Variable","Trujillo","No Moroso"
36,"M",1,"Si","Si","No","Si","Si",14,"Fijo","Trujillo","No Moroso"
36,"M",1,"No","Si","No","No","No",14,"Fijo","Trujillo","No Moroso"
36,"F",1,"Si","Si","No","Si","Si",14,"Fijo","Trujillo","No Moroso"
36,"F",1,"No","Si","No","No","Si",14,"Fijo","Trujillo","No Moroso"
36,"F",1,"No","No","No","No","No",14,"Variable","Trujillo","No Moroso"
36,"M",1,"No","No","No","No","No",14,"Variable","Trujillo","No Moroso"
36,"M",0,"No","Si","No","Si","Si",14,"Fijo","Trujillo","No Moroso"
36,"M",0,"No","No","No","No","No",14,"Fijo","Trujillo","No Moroso"
36,"F",0,"No","No","No","No","No",14,"Variable","Trujillo","No Moroso"
36,"M",0,"Si","No","Si","No","Si",14,"Variable","Trujillo","No Moroso"
36,"F",0,"No","No","No","No","Si",14,"Variable","Trujillo","No Moroso"
36,"M",0,"No","No","No","No","No",14,"Variable","Trujillo","No Moroso"
36,"F",0,"Si","No","No","No","No",14,"Variable","Trujillo","No Moroso"
37,"F",4,"No","Si","No","No","Si",14,"Fijo","Trujillo","Moroso"
37,"F",4,"No","Si","No","No","Si",14,"Fijo","Trujillo","Moroso"
37,"F",4,"No","Si","No","Si","Si",14,"Fijo","Trujillo","Moroso"
37,"F",3,"Si","No","Si","No","No",14,"Variable","Trujillo","No Moroso"
37,"F",3,"Si","No","Si","Si","Si",14,"Variable","Trujillo","No Moroso"
37,"M",3,"No","No","No","Si","No",14,"Variable","Trujillo","No Moroso"
37,"M",3,"No","No","No","Si","No",14,"Variable","Trujillo","No Moroso"
37,"F",3,"No","No","Si","Si","Si",14,"Variable","Trujillo","No Moroso"
37,"M",2,"Si","Si","No","Si","No",14,"Fijo","Trujillo","No Moroso"
37,"M",2,"Si","No","No","No","No",14,"Fijo","Trujillo","No Moroso"
37,"F",2,"No","Si","No","No","Si",14,"Fijo","Trujillo","No Moroso"
37,"F",2,"Si","Si","No","Si","No",14,"Fijo","Trujillo","No Moroso"
37,"F",2,"Si","Si","Si","Si","Si",14,"Fijo","Trujillo","No Moroso"
37,"M",2,"No","Si","No","Si","Si",14,"Variable","Trujillo","No Moroso"
37,"F",2,"No","No","No","No","No",14,"Variable","Trujillo","No Moroso"
37,"F",2,"Si","Si","No","Si","Si",14,"Variable","Trujillo","No Moroso"
37,"M",2,"No","No","Si","No","No",14,"Variable","Trujillo","No Moroso"
37,"F",2,"No","No","No","No","Si",14,"Variable","Trujillo","No Moroso"
37,"M",1,"Si","Si","No","No","No",14,"Fijo","Trujillo","No Moroso"
37,"F",1,"Si","Si","No","No","No",14,"Fijo","Trujillo","No Moroso"
37,"M",1,"No","Si","No","No","No",14,"Fijo","Trujillo","No Moroso"
37,"M",1,"Si","No","No","No","No",14,"Variable","Trujillo","No Moroso"
37,"M",1,"Si","No","No","No","No",14,"Variable","Trujillo","No Moroso"
37,"M",1,"No","No","No","No","Si",14,"Variable","Trujillo","No Moroso"
37,"F",0,"No","No","No","No","Si",14,"Fijo","Trujillo","No Moroso"
37,"M",0,"No","Si","No","No","No",14,"Fijo","Trujillo","No Moroso"
37,"M",0,"Si","Si","No","No","Si",14,"Fijo","Trujillo","No Moroso"
37,"F",0,"No","No","No","No","Si",14,"Variable","Trujillo","No Moroso"
37,"M",0,"No","No","No","Si","Si",14,"Variable","Trujillo","No Moroso"
38,"F",5,"No","Si","No","No","Si",14,"Fijo","Trujillo","Moroso"
38,"F",5,"No","No","No","No","No",14,"Variable","Trujillo","No Moroso"
38,"F",3,"No","Si","No","No","Si",14,"Fijo","Trujillo","No Moroso"
38,"M",3,"No","Si","No","No","No",14,"Fijo","Trujillo","No Moroso"
38,"M",3,"No","No","Si","No","No",14,"Variable","Trujillo","No Moroso"
38,"M",3,"Si","Si","Si","Si","Si",14,"Variable","Trujillo","No Moroso"
38,"F",2,"No","Si","Si","Si","No",14,"Fijo","Trujillo","No Moroso"
38,"M",2,"Si","Si","No","No","Si",14,"Fijo","Trujillo","No Moroso"
38,"F",2,"No","No","No","Si","No",14,"Fijo","Trujillo","No Moroso"
38,"M",2,"No","No","Si","No","No",14,"Variable","Trujillo","No Moroso"
38,"F",2,"No","No","No","Si","Si",14,"Variable","Trujillo","No Moroso"
38,"F",2,"No","No","No","No","No",14,"Variable","Trujillo","No Moroso"
38,"M",1,"Si","Si","No","No","Si",14,"Fijo","Trujillo","No Moroso"
38,"M",1,"No","No","No","Si","No",14,"Fijo","Trujillo","Moroso"
38,"M",1,"Si","No","No","Si","Si",14,"Fijo","Trujillo","No Moroso"
38,"F",1,"No","No","No","No","No",14,"Variable","Trujillo","No Moroso"
38,"M",1,"Si","Si","Si","No","No",14,"Variable","Trujillo","No Moroso"
38,"M",1,"No","No","No","Si","Si",14,"Variable","Trujillo","No Moroso"
38,"M",1,"No","No","No","No","No",14,"Variable","Trujillo","No Moroso"
38,"M",1,"No","No","No","No","No",14,"Variable","Trujillo","No Moroso"
38,"F",0,"No","Si","No","No","Si",14,"Fijo","Trujillo","No Moroso"
38,"F",0,"Si","Si","No","No","No",14,"Fijo","Trujillo","No Moroso"
38,"M",0,"Si","Si","No","Si","Si",14,"Fijo","Trujillo","No Moroso"
38,"F",0,"No","Si","No","No","No",14,"Fijo","Trujillo","No Moroso"
38,"M",0,"Si","No","No","Si","No",14,"Fijo","Trujillo","No Moroso"
38,"F",0,"No","No","No","No","Si",14,"Variable","Trujillo","No Moroso"
39,"F",5,"No","No","No","Si","Si",14,"Variable","Trujillo","Moroso"
39,"M",4,"No","Si","No","Si","Si",14,"Fijo","Trujillo","Moroso"
39,"F",3,"No","Si","No","No","No",14,"Fijo","Trujillo","No Moroso"
39,"F",2,"No","Si","No","No","No",14,"Fijo","Trujillo","No Moroso"
39,"M",2,"Si","Si","No","Si","No",14,"Fijo","Trujillo","No Moroso"
39,"F",2,"Si","Si","No","Si","No",14,"Fijo","Trujillo","No Moroso"
39,"M",2,"No","No","Si","Si","No",14,"Variable","Trujillo","No Moroso"
39,"F",2,"Si","No","No","Si","Si",14,"Variable","Trujillo","No Moroso"
39,"F",2,"Si","No","Si","No","No",14,"Variable","Trujillo","No Moroso"
39,"M",2,"No","No","No","No","Si",14,"Variable","Trujillo","No Moroso"
39,"F",2,"Si","Si","No","Si","Si",14,"Variable","Trujillo","No Moroso"
39,"F",2,"Si","No","Si","Si","Si",14,"Variable","Trujillo","No Moroso"
39,"M",1,"Si","Si","No","No","No",14,"Fijo","Trujillo","No Moroso"
39,"F",1,"No","Si","No","No","No",14,"Fijo","Trujillo","No Moroso"
39,"M",1,"Si","Si","No","No","Si",14,"Fijo","Trujillo","No Moroso"
39,"M",1,"No","No","No","Si","Si",14,"Variable","Trujillo","No Moroso"
39,"M",1,"No","No","Si","No","No",14,"Variable","Trujillo","No Moroso"
39,"M",1,"Si","Si","No","Si","No",14,"Variable","Trujillo","No Moroso"
39,"F",1,"Si","Si","No","Si","Si",14,"Variable","Trujillo","No Moroso"
39,"F",1,"No","No","No","No","No",14,"Variable","Trujillo","No Moroso"
39,"F",0,"Si","Si","No","No","No",14,"Fijo","Trujillo","No Moroso"
39,"F",0,"Si","Si","No","No","No",14,"Fijo","Trujillo","No Moroso"
39,"M",0,"Si","No","No","No","Si",14,"Fijo","Trujillo","No Moroso"
39,"F",0,"No","No","No","No","Si",14,"Variable","Trujillo","No Moroso"
39,"F",0,"No","No","No","No","No",14,"Variable","Trujillo","No Moroso"
39,"F",0,"Si","No","No","Si","Si",14,"Variable","Trujillo","No Moroso"
39,"F",0,"No","No","No","No","No",14,"Variable","Trujillo","No Moroso"
39,"M",0,"No","No","No","No","No",14,"Variable","Trujillo","No Moroso"
39,"F",0,"No","No","No","Si","Si",14,"Variable","Trujillo","No Moroso"
40,"F",4,"Si","Si","No","Si","Si",14,"Fijo","Trujillo","Moroso"
40,"M",4,"No","No","No","No","No",14,"Variable","Trujillo","Moroso"
40,"F",4,"No","No","No","No","No",14,"Variable","Trujillo","No Moroso"
40,"M",3,"Si","Si","No","No","Si",14,"Variable","Trujillo","No Moroso"
40,"F",3,"Si","Si","Si","No","No",14,"Variable","Trujillo","No Moroso"
40,"M",3,"No","No","Si","No","No",14,"Variable","Trujillo","No Moroso"
40,"F",2,"Si","Si","No","No","Si",14,"Fijo","Trujillo","No Moroso"
40,"F",2,"Si","Si","No","No","No",14,"Fijo","Trujillo","No Moroso"
40,"M",2,"No","Si","No","No","Si",14,"Fijo","Trujillo","No Moroso"
40,"F",2,"Si","Si","Si","No","Si",14,"Fijo","Trujillo","No Moroso"
40,"M",2,"No","No","No","No","No",14,"Variable","Trujillo","No Moroso"
40,"M",2,"No","No","No","Si","No",14,"Variable","Trujillo","No Moroso"
40,"F",2,"No","No","Si","Si","Si",14,"Variable","Trujillo","No Moroso"
40,"M",2,"Si","No","Si","No","No",14,"Variable","Trujillo","No Moroso"
40,"M",2,"No","No","Si","No","No",14,"Variable","Trujillo","No Moroso"
40,"F",2,"No","Si","No","No","No",14,"Variable","Trujillo","No Moroso"
40,"F",1,"No","Si","No","No","Si",14,"Fijo","Trujillo","No Moroso"
40,"M",1,"Si","Si","No","No","No",14,"Variable","Trujillo","No Moroso"
40,"M",1,"No","No","No","No","No",14,"Variable","Trujillo","No Moroso"
40,"M",1,"No","No","No","No","Si",14,"Variable","Trujillo","No Moroso"
40,"M",1,"No","No","No","No","No",14,"Variable","Trujillo","No Moroso"
40,"M",1,"Si","Si","No","No","No",14,"Variable","Trujillo","No Moroso"
40,"F",0,"Si","Si","No","Si","Si",14,"Fijo","Trujillo","No Moroso"
40,"M",0,"No","Si","No","No","Si",14,"Fijo","Trujillo","No Moroso"
40,"M",0,"Si","Si","No","No","Si",14,"Fijo","Trujillo","No Moroso"
40,"M",0,"Si","No","No","Si","No",14,"Fijo","Trujillo","No Moroso"
40,"F",0,"Si","Si","No","No","No",14,"Variable","Trujillo","No Moroso"
40,"M",0,"No","No","Si","No","No",14,"Variable","Trujillo","No Moroso"
41,"F",4,"No","Si","No","No","Si",14,"Fijo","Trujillo","Moroso"
41,"F",4,"No","Si","No","Si","Si",14,"Fijo","Trujillo","Moroso"
41,"M",4,"No","No","No","No","No",14,"Variable","Trujillo","Moroso"
41,"M",4,"Si","No","No","Si","Si",14,"Variable","Trujillo","No Moroso"
41,"M",3,"Si","Si","No","No","No",14,"Fijo","Trujillo","No Moroso"
41,"F",3,"No","No","Si","Si","No",14,"Variable","Trujillo","No Moroso"
41,"F",3,"No","No","Si","No","No",14,"Variable","Trujillo","No Moroso"
41,"M",3,"Si","No","No","No","No",14,"Variable","Trujillo","No Moroso"
41,"M",3,"No","No","No","Si","No",14,"Variable","Trujillo","No Moroso"
41,"M",2,"No","Si","No","No","Si",14,"Fijo","Trujillo","No Moroso"
41,"F",2,"Si","Si","No","No","Si",14,"Fijo","Trujillo","No Moroso"
41,"M",2,"Si","Si","No","Si","No",14,"Fijo","Trujillo","No Moroso"
41,"F",2,"Si","No","Si","No","No",14,"Variable","Trujillo","No Moroso"
41,"M",2,"No","No","Si","No","No",14,"Variable","Trujillo","No Moroso"
41,"M",2,"No","No","No","Si","Si",14,"Variable","Trujillo","No Moroso"
41,"F",2,"Si","No","No","No","No",14,"Variable","Trujillo","No Moroso"
41,"M",2,"No","No","No","Si","No",14,"Variable","Trujillo","No Moroso"
41,"M",1,"No","Si","No","No","No",14,"Fijo","Trujillo","No Moroso"
41,"M",1,"No","Si","No","No","No",14,"Fijo","Trujillo","No Moroso"
41,"F",1,"Si","Si","Si","No","No",14,"Variable","Trujillo","No Moroso"
41,"M",1,"No","No","Si","No","No",14,"Variable","Trujillo","No Moroso"
41,"M",1,"No","No","Si","No","No",14,"Variable","Trujillo","No Moroso"
41,"F",0,"Si","No","No","No","No",14,"Fijo","Trujillo","No Moroso"
41,"F",0,"Si","Si","No","Si","No",14,"Fijo","Trujillo","No Moroso"
42,"F",4,"Si","Si","No","No","No",14,"Fijo","Trujillo","No Moroso"
42,"F",3,"Si","No","No","No","No",14,"Variable","Trujillo","No Moroso"
42,"F",3,"No","No","No","No","No",14,"Variable","Trujillo","No Moroso"
42,"F",2,"Si","Si","No","No","No",14,"Fijo","Trujillo","No Moroso"
42,"F",2,"Si","No","No","No","No",14,"Fijo","Trujillo","No Moroso"
42,"F",2,"Si","Si","No","No","No",14,"Fijo","Trujillo","No Moroso"
42,"M",2,"No","Si","No","No","No",14,"Fijo","Trujillo","No Moroso"
42,"F",2,"No","Si","No","No","Si",14,"Fijo","Trujillo","No Moroso"
42,"M",2,"No","Si","No","Si","No",14,"Fijo","Trujillo","No Moroso"
42,"F",2,"No","Si","No","No","No",14,"Fijo","Trujillo","No Moroso"
42,"F",2,"No","Si","No","Si","Si",14,"Fijo","Trujillo","Moroso"
42,"F",2,"Si","No","Si","No","No",14,"Variable","Trujillo","No Moroso"
42,"F",2,"No","No","No","No","No",14,"Variable","Trujillo","No Moroso"
42,"F",2,"Si","Si","Si","No","No",14,"Variable","Trujillo","No Moroso"
42,"F",2,"No","No","No","No","Si",14,"Variable","Trujillo","No Moroso"
42,"F",2,"No","No","Si","No","No",14,"Variable","Trujillo","No Moroso"
42,"M",2,"Si","Si","No","Si","Si",14,"Variable","Trujillo","No Moroso"
42,"F",2,"No","No","No","No","No",14,"Variable","Trujillo","No Moroso"
